algorithm,seed,episode,cumulative_steps,eval_return,eval_return_std,eval_success_rate,eval_episode_length,setting
SARSA,8,3000,22095,1.0,0.0,1.0,6.0,deterministic
SARSA,8,3200,23419,1.0,0.0,1.0,6.0,deterministic
SARSA,8,3400,24669,1.0,0.0,1.0,6.0,deterministic
SARSA,8,3600,25955,1.0,0.0,1.0,6.0,deterministic
SARSA,8,3800,27167,1.0,0.0,1.0,6.0,deterministic
SARSA,8,4000,28387,1.0,0.0,1.0,6.0,deterministic
SARSA,8,4200,29596,1.0,0.0,1.0,6.0,deterministic
SARSA,8,4400,30795,1.0,0.0,1.0,6.0,deterministic
SARSA,8,4600,31996,1.0,0.0,1.0,6.0,deterministic
SARSA,8,4800,33200,1.0,0.0,1.0,6.0,deterministic
SARSA,8,5000,34402,1.0,0.0,1.0,6.0,deterministic
SARSA,9,1,3,0.03,0.1714466079977653,0.03,7.98,deterministic
SARSA,9,200,1457,1.0,0.0,1.0,6.0,deterministic
SARSA,9,400,2891,1.0,0.0,1.0,6.0,deterministic
SARSA,9,600,4380,1.0,0.0,1.0,6.0,deterministic
SARSA,9,800,6018,1.0,0.0,1.0,6.0,deterministic
SARSA,9,1000,7594,1.0,0.0,1.0,6.0,deterministic
SARSA,9,1200,9137,1.0,0.0,1.0,6.0,deterministic
SARSA,9,1400,10648,1.0,0.0,1.0,6.0,deterministic
SARSA,9,1600,12175,1.0,0.0,1.0,6.0,deterministic
SARSA,9,1800,13612,1.0,0.0,1.0,6.0,deterministic
SARSA,9,2000,14961,1.0,0.0,1.0,6.0,deterministic
SARSA,9,2200,16325,1.0,0.0,1.0,6.0,deterministic
SARSA,9,2400,17753,1.0,0.0,1.0,6.0,deterministic
SARSA,9,2600,19166,1.0,0.0,1.0,6.0,deterministic
SARSA,9,2800,20599,1.0,0.0,1.0,6.0,deterministic
SARSA,9,3000,22022,1.0,0.0,1.0,6.0,deterministic
SARSA,9,3200,23410,1.0,0.0,1.0,6.0,deterministic
SARSA,9,3400,24783,1.0,0.0,1.0,6.0,deterministic
SARSA,9,3600,26067,1.0,0.0,1.0,6.0,deterministic
SARSA,9,3800,27312,1.0,0.0,1.0,6.0,deterministic
SARSA,9,4000,28531,1.0,0.0,1.0,6.0,deterministic
SARSA,9,4200,29729,1.0,0.0,1.0,6.0,deterministic
SARSA,9,4400,30921,1.0,0.0,1.0,6.0,deterministic
SARSA,9,4600,32125,1.0,0.0,1.0,6.0,deterministic
SARSA,9,4800,33334,1.0,0.0,1.0,6.0,deterministic
SARSA,9,5000,34531,1.0,0.0,1.0,6.0,deterministic
SARSA,10,1,9,0.02,0.14070529413628968,0.02,7.23,deterministic
SARSA,10,200,1444,0.07,0.2564323999762428,0.07,7.25,deterministic
SARSA,10,400,3044,1.0,0.0,1.0,6.0,deterministic
SARSA,10,600,4403,1.0,0.0,1.0,6.0,deterministic
SARSA,10,800,5784,1.0,0.0,1.0,6.0,deterministic
SARSA,10,1000,7175,1.0,0.0,1.0,6.0,deterministic
SARSA,10,1200,8699,1.0,0.0,1.0,6.0,deterministic
SARSA,10,1400,10233,1.0,0.0,1.0,6.0,deterministic
SARSA,10,1600,11757,1.0,0.0,1.0,6.0,deterministic
SARSA,10,1800,13066,1.0,0.0,1.0,6.0,deterministic
SARSA,10,2000,14451,1.0,0.0,1.0,6.0,deterministic
SARSA,10,2200,15894,1.0,0.0,1.0,6.0,deterministic
SARSA,10,2400,17266,1.0,0.0,1.0,6.0,deterministic
SARSA,10,2600,18617,1.0,0.0,1.0,6.0,deterministic
SARSA,10,2800,19954,1.0,0.0,1.0,6.0,deterministic
SARSA,10,3000,21257,1.0,0.0,1.0,6.0,deterministic
SARSA,10,3200,22578,1.0,0.0,1.0,6.0,deterministic
SARSA,10,3400,23911,1.0,0.0,1.0,6.0,deterministic
SARSA,10,3600,25168,1.0,0.0,1.0,6.0,deterministic
SARSA,10,3800,26432,1.0,0.0,1.0,6.0,deterministic
SARSA,10,4000,27648,1.0,0.0,1.0,6.0,deterministic
SARSA,10,4200,28849,1.0,0.0,1.0,6.0,deterministic
SARSA,10,4400,30054,1.0,0.0,1.0,6.0,deterministic
SARSA,10,4600,31260,1.0,0.0,1.0,6.0,deterministic
SARSA,10,4800,32464,1.0,0.0,1.0,6.0,deterministic
SARSA,10,5000,33665,1.0,0.0,1.0,6.0,deterministic
SARSA,11,1,3,0.01,0.09999999999999999,0.01,7.43,deterministic
SARSA,11,200,1397,0.01,0.09999999999999999,0.01,7.3,deterministic
SARSA,11,400,2902,0.06,0.23868325657594203,0.06,6.99,deterministic
SARSA,11,600,4389,1.0,0.0,1.0,6.0,deterministic
SARSA,11,800,5773,1.0,0.0,1.0,6.0,deterministic
SARSA,11,1000,7238,0.0,0.0,0.0,100.0,deterministic
SARSA,11,1200,8706,1.0,0.0,1.0,6.0,deterministic
SARSA,11,1400,10138,1.0,0.0,1.0,6.0,deterministic
SARSA,11,1600,11510,1.0,0.0,1.0,6.0,deterministic
SARSA,11,1800,13035,1.0,0.0,1.0,6.0,deterministic
SARSA,11,2000,14510,1.0,0.0,1.0,6.0,deterministic
SARSA,11,2200,15869,0.0,0.0,0.0,100.0,deterministic
SARSA,11,2400,17214,1.0,0.0,1.0,6.0,deterministic
SARSA,11,2600,18514,1.0,0.0,1.0,6.0,deterministic
SARSA,11,2800,19912,1.0,0.0,1.0,6.0,deterministic
SARSA,11,3000,21222,1.0,0.0,1.0,6.0,deterministic
SARSA,11,3200,22545,1.0,0.0,1.0,6.0,deterministic
SARSA,11,3400,23846,1.0,0.0,1.0,6.0,deterministic
SARSA,11,3600,25091,1.0,0.0,1.0,6.0,deterministic
SARSA,11,3800,26321,1.0,0.0,1.0,6.0,deterministic
SARSA,11,4000,27527,1.0,0.0,1.0,6.0,deterministic
SARSA,11,4200,28727,1.0,0.0,1.0,6.0,deterministic
SARSA,11,4400,29932,1.0,0.0,1.0,6.0,deterministic
SARSA,11,4600,31139,1.0,0.0,1.0,6.0,deterministic
SARSA,11,4800,32344,1.0,0.0,1.0,6.0,deterministic
SARSA,11,5000,33551,1.0,0.0,1.0,6.0,deterministic
SARSA,12,1,7,0.0,0.0,0.0,7.73,deterministic
SARSA,12,200,1655,1.0,0.0,1.0,6.0,deterministic
SARSA,12,400,3118,1.0,0.0,1.0,6.0,deterministic
SARSA,12,600,4714,1.0,0.0,1.0,6.0,deterministic
SARSA,12,800,6144,1.0,0.0,1.0,6.0,deterministic
SARSA,12,1000,7597,1.0,0.0,1.0,6.0,deterministic
SARSA,12,1200,9113,1.0,0.0,1.0,6.0,deterministic
SARSA,12,1400,10538,1.0,0.0,1.0,6.0,deterministic
SARSA,12,1600,11945,1.0,0.0,1.0,6.0,deterministic
SARSA,12,1800,13442,1.0,0.0,1.0,6.0,deterministic
SARSA,12,2000,14891,1.0,0.0,1.0,6.0,deterministic
SARSA,12,2200,16309,1.0,0.0,1.0,6.0,deterministic
SARSA,12,2400,17614,0.0,0.0,0.0,100.0,deterministic
SARSA,12,2600,18943,1.0,0.0,1.0,6.0,deterministic
SARSA,12,2800,20288,1.0,0.0,1.0,6.0,deterministic
SARSA,12,3000,21680,1.0,0.0,1.0,6.0,deterministic
SARSA,12,3200,23022,1.0,0.0,1.0,6.0,deterministic
SARSA,12,3400,24281,1.0,0.0,1.0,6.0,deterministic
SARSA,12,3600,25506,1.0,0.0,1.0,6.0,deterministic
SARSA,12,3800,26742,1.0,0.0,1.0,6.0,deterministic
SARSA,12,4000,27932,1.0,0.0,1.0,6.0,deterministic
SARSA,12,4200,29130,1.0,0.0,1.0,6.0,deterministic
SARSA,12,4400,30331,1.0,0.0,1.0,6.0,deterministic
SARSA,12,4600,31526,1.0,0.0,1.0,6.0,deterministic
SARSA,12,4800,32730,1.0,0.0,1.0,6.0,deterministic
SARSA,12,5000,33936,1.0,0.0,1.0,6.0,deterministic
SARSA,13,1,17,0.03,0.1714466079977653,0.03,7.13,deterministic
SARSA,13,200,1438,0.08,0.27265992434429076,0.08,7.05,deterministic
SARSA,13,400,2925,1.0,0.0,1.0,6.0,deterministic
SARSA,13,600,4399,1.0,0.0,1.0,6.0,deterministic
SARSA,13,800,5796,1.0,0.0,1.0,6.0,deterministic
SARSA,13,1000,7343,1.0,0.0,1.0,6.0,deterministic
SARSA,13,1200,8783,1.0,0.0,1.0,6.0,deterministic
SARSA,13,1400,10297,1.0,0.0,1.0,6.0,deterministic
SARSA,13,1600,11702,1.0,0.0,1.0,6.0,deterministic
SARSA,13,1800,13120,1.0,0.0,1.0,6.0,deterministic
SARSA,13,2000,14552,1.0,0.0,1.0,6.0,deterministic
SARSA,13,2200,15994,1.0,0.0,1.0,6.0,deterministic
SARSA,13,2400,17359,1.0,0.0,1.0,6.0,deterministic
SARSA,13,2600,18762,1.0,0.0,1.0,6.0,deterministic
SARSA,13,2800,20115,1.0,0.0,1.0,6.0,deterministic
SARSA,13,3000,21452,1.0,0.0,1.0,6.0,deterministic
SARSA,13,3200,22735,1.0,0.0,1.0,6.0,deterministic
SARSA,13,3400,23991,1.0,0.0,1.0,6.0,deterministic
SARSA,13,3600,25273,1.0,0.0,1.0,6.0,deterministic
SARSA,13,3800,26515,1.0,0.0,1.0,6.0,deterministic
SARSA,13,4000,27719,1.0,0.0,1.0,6.0,deterministic
SARSA,13,4200,28922,1.0,0.0,1.0,6.0,deterministic
SARSA,13,4400,30121,1.0,0.0,1.0,6.0,deterministic
SARSA,13,4600,31313,1.0,0.0,1.0,6.0,deterministic
SARSA,13,4800,32514,1.0,0.0,1.0,6.0,deterministic
SARSA,13,5000,33717,1.0,0.0,1.0,6.0,deterministic
SARSA,14,1,3,0.03,0.1714466079977653,0.03,8.49,deterministic
SARSA,14,200,1506,1.0,0.0,1.0,6.0,deterministic
SARSA,14,400,2986,1.0,0.0,1.0,6.0,deterministic
SARSA,14,600,4553,1.0,0.0,1.0,6.0,deterministic
SARSA,14,800,5976,1.0,0.0,1.0,6.0,deterministic
SARSA,14,1000,7331,1.0,0.0,1.0,6.0,deterministic
SARSA,14,1200,8828,1.0,0.0,1.0,6.0,deterministic
SARSA,14,1400,10322,1.0,0.0,1.0,6.0,deterministic
SARSA,14,1600,11802,1.0,0.0,1.0,6.0,deterministic
SARSA,14,1800,13324,1.0,0.0,1.0,6.0,deterministic
SARSA,14,2000,14715,1.0,0.0,1.0,6.0,deterministic
SARSA,14,2200,16107,1.0,0.0,1.0,6.0,deterministic
SARSA,14,2400,17513,1.0,0.0,1.0,6.0,deterministic
SARSA,14,2600,18829,1.0,0.0,1.0,6.0,deterministic
SARSA,14,2800,20184,1.0,0.0,1.0,6.0,deterministic
SARSA,14,3000,21559,1.0,0.0,1.0,6.0,deterministic
SARSA,14,3200,22799,1.0,0.0,1.0,6.0,deterministic
SARSA,14,3400,24090,1.0,0.0,1.0,6.0,deterministic
SARSA,14,3600,25353,1.0,0.0,1.0,6.0,deterministic
SARSA,14,3800,26582,1.0,0.0,1.0,6.0,deterministic
SARSA,14,4000,27814,1.0,0.0,1.0,6.0,deterministic
SARSA,14,4200,29020,1.0,0.0,1.0,6.0,deterministic
SARSA,14,4400,30219,1.0,0.0,1.0,6.0,deterministic
SARSA,14,4600,31417,1.0,0.0,1.0,6.0,deterministic
SARSA,14,4800,32618,1.0,0.0,1.0,6.0,deterministic
SARSA,14,5000,33817,1.0,0.0,1.0,6.0,deterministic
SARSA,15,1,3,0.0,0.0,0.0,7.9,deterministic
SARSA,15,200,1479,0.03,0.1714466079977653,0.03,7.18,deterministic
SARSA,15,400,3087,1.0,0.0,1.0,6.0,deterministic
SARSA,15,600,4707,1.0,0.0,1.0,6.0,deterministic
SARSA,15,800,6093,1.0,0.0,1.0,6.0,deterministic
SARSA,15,1000,7557,1.0,0.0,1.0,6.0,deterministic
SARSA,15,1200,9050,1.0,0.0,1.0,6.0,deterministic
SARSA,15,1400,10636,1.0,0.0,1.0,6.0,deterministic
SARSA,15,1600,12212,1.0,0.0,1.0,6.0,deterministic
SARSA,15,1800,13646,1.0,0.0,1.0,6.0,deterministic
SARSA,15,2000,15130,1.0,0.0,1.0,6.0,deterministic
SARSA,15,2200,16479,1.0,0.0,1.0,6.0,deterministic
SARSA,15,2400,17831,1.0,0.0,1.0,6.0,deterministic
SARSA,15,2600,19154,1.0,0.0,1.0,6.0,deterministic
SARSA,15,2800,20520,1.0,0.0,1.0,6.0,deterministic
